pashto,english,semantic_similarity,bucket
Article Video تجارب كاتب فيديو Post Author HTML PHP WordPress Tag Tags World العالم ووردبريس وسوم وسم review مراجعة جوال mobile آبل apple blackberry galaxy,Article Video تجارب كاتب فيديو Post Author HTML PHP WordPress Tag Tags World العالم ووردبريس وسوم وسم review مراجعة جوال mobile آبل apple blackberry galaxy,1.0,top_high_similarity
"His grandson Jafar rose to power by first subjecting all his relations to his will, and then the neighbouring tappa of Ismail Khel, over which Allahdad, a distant cousin of his, became chief. ""دې شي ته اوګوره اؤ دې خبرو ته ئې اوګوره!""ګاونډۍ ښځې بي بي جانې ته وويل ""تۀ به وَى چې چرته لوئي مولئي صېب دى اؤ منارضې ئې کړې دي"".","His grandson Jafar rose to power by first subjecting all his relations to his will, and then the neighbouring tappa of Ismail Khel, over which Allahdad, a distant cousin of his, became chief. ""دې شي ته اوګوره اؤ دې خبرو ته ئې اوګوره!""ګاونډۍ ښځې بي بي جانې ته وويل ""تۀ به وَى چې چرته لوئي مولئي صېب دى اؤ منارضې ئې کړې دي"".",0.9999999,top_high_similarity
Polémique au carnaval d’Alost: le bourgmestre répond au ministre israélien des Affaires étrangères Polémique au carnaval d’Alost: le bourgmestre répond au ministre israélien des Affaires étrangères Le bourgmestre d’Alost... نړیوال,Polémique au carnaval d’Alost: le bourgmestre répond au ministre israélien des Affaires étrangères Polémique au carnaval d’Alost: le bourgmestre répond au ministre israélien des Affaires étrangères Le bourgmestre d’Alost...,0.9977773,top_high_similarity
"MORNLASER fiber laser marking machines offer a safe and economic way for product marking in a wide range of industries, such as mechanical parts production, electronic parts marking, medical instruments serial number, automotive parts and so on. All these marks engraved on product surfaces, almos... ادامه مطلب »","MORNLASER fiber laser marking machines offer a safe and economic way for product marking in a wide range of industries, such as mechanical parts production, electronic parts marking, medical instruments serial number, automotive parts and so on. All these marks engraved on product surfaces, almos... 続きを読みます»を",0.99361974,top_high_similarity
"outsourcing costa rica, costa rica outsourcing,call center costa rica, call centers in costa rica, costa rican call center, costa rican call centers, BPO, business process outsourcing, business process outsourcing costa rica, bilingual call center telemarketing کور د امريکا د متحده ايالتونو په اړه","outsourcing costa rica, costa rica outsourcing,call center costa rica, call centers in costa rica, costa rican call center, costa rican call centers, BPO, business process outsourcing, business process outsourcing costa rica, bilingual call center telemarketing",0.9929445,top_high_similarity
"As one of the top 15 laser manufacturers in China, MORN LASER has taken up a great place in global laser market with 18 years accumulation of industrial technology and manu... ادامه مطلب »","As one of the top 15 laser manufacturers in China, MORN LASER has taken up a great place in global laser market with 18 years accumulation of industrial technology and manu... 続きを読みます»を",0.99110943,top_high_similarity
"If your Discord is stuck on the connecting screen, you can follow our troubleshooting guide to get it fixed. There are plenty of causes for this issue, which means we’ll need to go through each troubleshooting step one by one until it’s solved. We’ll start with the easier fixes first, but we have made sure … نور یی ولوله","If your Discord is stuck on the connecting screen, you can follow our troubleshooting guide to get it fixed. There are plenty of causes for this issue, which means we’ll need to go through each troubleshooting step one by one until it’s solved. We’ll start with the easier fixes first, but we have made sure … Read more",0.9887848,top_high_similarity
"سند : GS , CE , GB , ISO14001 , ISO9001 , CB , CCC , EMC , FCC , MSDS , PSE , RoHS , SSA , Test Report , TUV , UL","Sertipiko : GS , CE , GB , ISO14001 , ISO9001 , CB , CCC , EMC , FCC , MSDS , PSE , RoHS , SSA , Test Report , TUV , UL",0.98063976,top_high_similarity
امریکا، ایران، پاکستان، نیپال، هند، سعودي عربستان، آلمان، انګلستان، فلیپین، ترکیه، تاجکستان، ایټالیا، سریلانکا، استرالیا، روسیه، فرانسه، کاناډا، هالنډ، کنیا، چین، ازبکستان، کویټ، قرغزستان، تایلنډ، قزاقستان، یوګانډا، جنوبي افریقای، بلجیم، اردن، سویډن، یونان، ناروې، اتریش، اندونیزیا، رومانیا، پولنډ، ډنمارک، پورتو ریکو، مصر، ترکمنستان، جنوبي کوریا، سویس، اسپانیا، مالیزیا، نایجریا، نیوزیلنډ، جاپان، هانګ کانګ او فنلنډ.,"(USA, Iran, Pakistan, Nepal, India, Saudi Arabia, Germany, UK, Philippines, Turkey, Tajikistan, Italy, Sri Lanka, Australia, Russia, France, Canada, Netherlands, Kenya, China, Uzbekistan, Kuwait, Kyrgyzstan, Thailand, Kazakhstan, Uganda, South Africa, Belgium, Jordan, Sweden, Greece, Norway, Austria, Indonesia, Romania, Poland, Denmark, Puerto Rico, Egypt, Turkmenistan, Colombia, South Korea, Switzerland, Spain, Malaysia, Nigeria, New Zealand, Japan, Hong Kong, Finland).",0.97720855,top_high_similarity
"Our solutions are widely regarded and trustworthy by consumers and may meet continually modifying financial and social requirements for optical fibre uses, فایبر د رڼا کیبل , fiberstars روښان , د نوري استعمال فايبر , Safety as a result of innovation is our promise to each other.","Our solutions are widely regarded and trustworthy by consumers and may meet continually modifying financial and social requirements for optical fibre uses, fiber optic lighting cable , fiberstars lighting , use of optical fiber , Safety as a result of innovation is our promise to each other.",0.97556305,top_high_similarity
