file,filename,category,extension,size_mb,rows,columns,column_names,sha256,status,error
data\gold_test_100_template.csv,gold_test_100_template.csv,test,.csv,0.0018,100,6,id | domain | pashto | english_reference | hindi_reference | difficulty,f8adb9602512593bee8854a4aa8fbe0eef3ec14cec66ad20753f4df21ea863cb,success,
data\gold_test_candidates_100.csv,gold_test_candidates_100.csv,test,.csv,0.0164,100,5,pashto | english | source | manual_quality | comment,71ae0351ff7656b63dfc21722b9e130a23899f364fde4b8743300894540349ea,success,
data\train_high_quality_10k.csv,train_high_quality_10k.csv,training,.csv,4.9128,10000,3,pashto | english | source,b66c31b225f26a1c0b405ffb9d6b490e63a56d66b0371dbedb7125168d4b3712,success,
data\train_semantic_filtered_800.csv,train_semantic_filtered_800.csv,"training, semantic-filtered, filtered",.csv,0.4108,800,3,pashto | english | semantic_similarity,9e82561f14b0e3c8ac5312282c610eb2e18018906fb6e5fc66403bfd7dc49d48,success,
data\train_semantic_filtered_8000.csv,train_semantic_filtered_8000.csv,"training, semantic-filtered, filtered",.csv,4.0589,8000,3,pashto | english | semantic_similarity,3442b44d55d5e2d4c9732eb1fd89648f64a16a012f8c8cb1a8a9e59c1ff9ba7d,success,
outputs\tables\baseline_metrics.csv,baseline_metrics.csv,baseline,.csv,0.0,2,2,metric | score,f98deffa8c62425a40eaea4f7b4f5f108d20101f352c71e060584f877c26ca4f,success,
outputs\tables\conference_blinded_human_evaluation.csv,conference_blinded_human_evaluation.csv,unclassified,.csv,0.022,50,18,sample_id | pashto_source | english_reference | system_a_output | system_b_output | system_c_output | best_system | adequacy_a_1_to_5 | adequacy_b_1_to_5 | adequacy_c_1_to_5 | fluency_a_1_to_5 | fluency_b_1_to_5 | fluency_c_1_to_5 | missing_information | hallucination | named_entity_error | comments | _hidden_mapping,e7690b174e5501cdfd3ba74252bde1de2106d19389110e2071b3421e07bcf20c,success,
outputs\tables\conference_model_metrics_with_ci.csv,conference_model_metrics_with_ci.csv,unclassified,.csv,0.0003,3,8,Model | Samples | BLEU | BLEU 95% CI Low | BLEU 95% CI High | chrF++ | chrF 95% CI Low | chrF 95% CI High,884760fdb7a5876cd0b2057838b26b4a7d48edfe19863c400f007a99283fe801,success,
outputs\tables\conference_paired_bootstrap_significance.csv,conference_paired_bootstrap_significance.csv,unclassified,.csv,0.0002,2,7,System A | System B | BLEU Difference B-A | BLEU p-value | chrF Difference B-A | chrF p-value | Significant at 0.05,51d65e95c5df0a43939c48f3d7b8e003c40667f1ea1f3adeeac327c975ddc648,success,
outputs\tables\conference_predictions_combined.csv,conference_predictions_combined.csv,predictions,.csv,0.0334,100,5,source | reference | baseline_prediction | original_lora_prediction | semantic_lora_prediction,679829ecccfd4ce9060530bc3f0bcac8735c2eb58c43bb8aaf0e2355a674d367,success,
outputs\tables\conference_sentence_level_analysis.csv,conference_sentence_level_analysis.csv,unclassified,.csv,0.0387,100,8,source | reference | baseline_nllb_prediction | baseline_nllb_sentence_chrf | original_lora_prediction | original_lora_sentence_chrf | semantic_lora_prediction | semantic_lora_sentence_chrf,adbc0e53ed8869beedfc2b09b97181b6262586cde509fd319db4f7096c86a4cf,success,
outputs\tables\dataset_cleaning_summary.csv,dataset_cleaning_summary.csv,cleaned,.csv,0.0001,3,2,stage | rows,fdd3ba780631a4d248ebe75439418309589406c877bc815ce0f42bc871c77c70,success,
outputs\tables\inference_time.csv,inference_time.csv,unclassified,.csv,0.0001,3,2,translation_direction | avg_time_sec,6592141fa6832d44f521dff5753436385755f4b72d4d0edee7f0b4ab14ad621d,success,
