source,reference,baseline_nllb_prediction,baseline_nllb_sentence_chrf,original_lora_prediction,original_lora_sentence_chrf,semantic_lora_prediction,semantic_lora_sentence_chrf
105 زیرمې بک په PocketFruity بک امتیازات نه,"Ang 'Lucky New Year' ay LIVE sa Black Diamond, Spartan Slots at Box 24!",105 deposit book on PocketFruity book no bonuses,5.5030508499034765,105 No Deposit Book Prizes at PocketFruity Book,7.959966148882473,105 No Deposit Book Prizes at PocketFruity Book,7.959966148882473
.: پاييز 1392، جلد 9، شماره 3,.: Year 12، No. 2,": p. 1392, volume 9, number 3",9.142650569996972,": Page 1392, Volume 9, No. 3",16.3981701197821,": Pieces 1392, Volume 9, No. 3",15.34723862847156
سامسونګ له خپلو نويو موبایلونو پرده پورته کړه,Abdullah says won't join election ticket of any presidential...,Samsung unveiled its new phones,6.599891295908067,Samsung has unveiled its new phones,6.770430259379559,Samsung has unveiled its new phones,6.770430259379559
د ویب پاڼې ازموینه، د سیسټم څخه چې په شیکاګو کې موقعیت لري، TTFB: 486ms.,"Webpage Test, from server located at Chicago, TTFB: 486ms.","Website test, from a system based in Chicago, TTFB: 486ms.",53.0265556381614,"Website test, from a system located in Chicago, TTFB: 486ms.",58.86654356486144,"Website test, from a system located in Chicago, TTFB: 486ms.",58.86654356486144
ذخيره شما: $2.40 (60%),Bazic #2B Premium Wood Pencil - 12/Pack,Savings: $2.40 (60%),1.666666666666667,Your savings: $2.40 (60%),2.8409090909090904,Savings: $2.40 (60%),1.666666666666667
تناوب ظرفیت: 20 ټنه اعظمي,Rotation capacity 20 tons maximum,Turning capacity: 20 tonnes maximum,44.95343908196291,Turning capacity: 20 tonnes maximum,44.95343908196291,Turning capacity: 20 tonnes maximum,44.95343908196291
PE کاربن Spiral پیاوړی نل تولید,Plastic Pipe Production Line,PE Carbon Spiral Strengthened Pipe Production,46.60160538144096,PE Carbon Spiral Strengthened Pipe Production,46.60160538144096,PE Carbon Spiral Strengthened Pipe Production,46.60160538144096
4 Min BGA او مايکرو BGA جګوالی او توپ حساب 0،008 په. (0.2mm) جګوالی، توپ حساب د 1000 څخه زیات,"4 Min BGA and Micro BGA pitch and ball counts 0.008 in. (0.2mm) pitch, ball count greater than 1000","4 Min BGA and Micro BGA accuracy and ball count 0.008 in. (0.2mm) accuracy, ball count greater than 1000",76.52942782965951,"4 Min BGA and Micro BGA torque and ball account 0.008 in. (0.2mm) torque, ball account more than 1000",61.521251298078795,"4 Min BGA and Micro BGA ball and ball account 0.008 in. (0.2mm) ball, ball account more than 1000",61.199334271769224
نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.,International Group: The 11th Conference between the Assemblies of Islamic Countries kicked off in Baghdad on the fourth day of the meeting of the Islamic Council in Baghdad.,16.711583764867836,International Group: The 11th Conference between the Assemblies of Islamic Countries was inaugurated in Baghdad on the 4th day of the month of Bahman in the presence of the head of the meeting of the Islamic Council.,18.249053005095373,International Group: The 11th Conference between the Assemblies of Islamic Countries was inaugurated in Baghdad on the 4th day of the meeting of the Islamic Council in the presence of the President of the Assembly.,17.98110876102893
د هند حیدرآباد جومات په کلینیک کښې د بېلابېلو دینونو منونکو نه ښه راغلاست,Young Australian Arbaeen Pilgrim Talks about How Everyone Is Attracted to Imam Hussein (AS),Hyderabad mosque in India welcomes people of different faiths to the clinic,10.37204403483536,"In India, the Hyderabad mosque welcomes people of different faiths to the clinic.",10.207268241390787,Welcome Muslims of Diverse Religions to Hyderabad Mosque in India,11.298054674464126
