pashto,english,semantic_similarity
CNC1-K لړۍ contactor 06 ~ 12A د AC 50 / 60Hz، د 690V ولتاژ مدار، د 12A curre کړي، د مختلفو types.Control مقاومت، inductive، capacitive بارونه contollingmotors: د تودولو، د رڼا او transformer.Control distrbutioncircuit، صنعتي ویش.,"CNC1-K series contactor 06~12A In circuit of AC 50/60Hz, voltage of 690V, curre up to 12A, contollingmotors of different types.Control resistance,inductive,capacitive loads: heating,lighting and transformer.Control distrbutioncircuit,industrial distribution.",0.92946607
"We strive for excellence, services the customers"", hopes to be the top cooperation team and dominator business for personnel, suppliers and prospects, realizes benefit share and continual promotion for iber optic, د نوري الیاف بيلابيلو ډولونو , فایبر کیبل , نوري فایبر ستوري , To improved expand market, we sincerely invite ambitious individuals and providers to hitch as an agent. Gaining purchaser gratification is our firm's intention eternally.","We strive for excellence, services the customers"", hopes to be the top cooperation team and dominator business for personnel, suppliers and prospects, realizes benefit share and continual promotion for iber optic, different types of optical fibers , Fiber Cable , fiber optic stars , To improved expand market, we sincerely invite ambitious individuals and providers to hitch as an agent. Gaining purchaser gratification is our firm's intention eternally.",0.9206135
د Lockheed L-188 Electra د لومړي turboprop طیاره په متحده ایالاتو کې جوړ ه شوی وه. خپلې لومړنۍ الوتنې په 1957 رامنځته شوه. خپلو اجراآتو په پرتله د یو جټ الوتکې د هغو کسانو، په کمه عملیاتي لګښتونه لږ و. (منبع ويکيپېډيا),"The Lockheed L-188 Electra was the first turboprop airliner built in the United States. Its first flight took place in 1957. Its performance was only slightly lower than those of a jet plane, with lower operating costs. (source Wikipedia)",0.9142362
د Gigalight 40G QSFP + LR4 10km optical transceiver (GQS-SPO400-LR4C) د ډیټا سینټر 40GBASE-LR4 ایترنیټ او OTN OTU3 لینکونه د ایس ایم ایف - فایل پر 10km پورې رسیږي لپاره ډیزاین شوي. یو اقتباس ترلاسه کړئ,The Gigalight 40G QSFP+ LR4 10km optical transceiver (GQS-SPO400-LR4C) is designed for Data Center 40GBASE-LR4 Ethernet and OTN OTU3 links reach up to 10km over Single-Mode Fiber (SMF).,0.9077371
【کاریال】 سدیم Ascorbate (na VC) برابروي د په سلو کې د کوليګن 1،000 mg، د خوړو / نوشابه / Pharmaceutical / روغتیا او شخصي پاملرنې په پراخه توګه کارول سوديم 131 ګرامه.,"【Application】Sodium Ascorbate (Na VC) provides 131 mg of sodium per 1,000 mg of ascorbic acid, widely used in Food/Beverage/Pharmaceutical/Health and Personal care.",0.8842684
Dia.95 × 60 ملي متري h؛ Dia.113 × 60 MMH؛ Dia.146 × 70 ملي متري h؛ Dia.168 × 82 ملي متري h؛ Dia.220 × 109 mm H، ECT.,"Dia.95×60 mm H ; Dia.113×60 mmH; Dia.146×70 mm H; Dia.168×82 mm H; Dia.220×109 mm H, ect.",0.88346434
د FileCatalyst | د Adobe شراکت شراکت جوړوي چې د FileCatalyst د چټک فایل د لیږد حل حلونو له لارې په ډیرو سرعتونو کې د فوټبال په لیږلو، شریکولو او شریکولو کې مرسته وکړي، په ډرامیک ډول د تولید سایټونو لوړول. د FileCatalyst ټیکنالوژي په مستقیم ډول د Adobe محصولاتو سره یوځای شوي او کولی شي په مستقیم ډول د Adobe سافټویر کې د یوې پینل څخه لاس رسی ولري.,"The FileCatalyst | Adobe partnership allows creators to send, share and collaborate on footage at maximum speeds via FileCatalyst’s fast file transfer solutions, dramatically enhancing production cycles. FileCatalyst’s technology has been integrated directly into Adobe products and can be accessed from a panel directly within Adobe software.",0.88306046
په Ray د Lido- Open Deal WaveRider WaterSports – پړاو Gozo & Comino د 1، 2 او يا 3 کسان جټ سکي فایرفاکس,"JET SKI SAFARI pande zote Gozo & Comino kwa 1, 2 au 3 watu – WaveRider Watersports katika Ray Lido- Open Deal",0.8778888
مګر د عکس کیفیت ، سمارټ انٹرفیس ، او د 8K مینځپانګې لپاره راتلونکي پروفرو وړتیا لپاره ، دا په ساده ډول ترټولو غوره 75 انچ تلویزیون جوړ کړئ چې تاسو یې کولی شئ. (اندیښنه مه کوئ ، پاتې لیست ارزانه دی.),"But for picture quality, smart interface, and the ability to futureproof for 8K content, make this simply the best 75-inch TV you could buy. (Don’t worry, the rest of the list is cheaper.)",0.8773336
موږ کولای شو د هر اندازې او د dinosaur سم ډول د مراجعينو د اړتیا تولید. سره حیرانونکې Animatronic Dinosaur، تاسو هم Jurasic پارک تجربه، نه یوازې د فلم د ليدو. سره د سوداګرۍ د پراختیا، نور دودیزه ايکټيو dinosaur نندارې موجود دی.,"With the amazing Animatronic Dinosaur, you also experience Jurasic Park, not only watch movie. With business development, more customized interactive dinosaur exhibits is available.",0.86370623
