sample_id,pashto_source,english_reference,baseline_prediction,finetuned_prediction,better_output,meaning_score_1_to_5,fluency_score_1_to_5,completeness_score_1_to_5,named_entity_correct_yes_no,main_error_type,comment
1,105 زیرمې بک په PocketFruity بک امتیازات نه,"Ang 'Lucky New Year' ay LIVE sa Black Diamond, Spartan Slots at Box 24!",105 deposit book on PocketFruity book no bonuses,105 No Deposit Book Prizes at PocketFruity Book,,,,,,,
2,.: پاييز 1392، جلد 9، شماره 3,.: Year 12، No. 2,": p. 1392, volume 9, number 3",": Page 1392, Volume 9, No. 3",,,,,,,
3,سامسونګ له خپلو نويو موبایلونو پرده پورته کړه,Abdullah says won't join election ticket of any presidential...,Samsung unveiled its new phones,Samsung has unveiled its new phones,,,,,,,
4,د ویب پاڼې ازموینه، د سیسټم څخه چې په شیکاګو کې موقعیت لري، TTFB: 486ms.,"Webpage Test, from server located at Chicago, TTFB: 486ms.","Website test, from a system based in Chicago, TTFB: 486ms.","Website test, from a system located in Chicago, TTFB: 486ms.",,,,,,,
5,ذخيره شما: $2.40 (60%),Bazic #2B Premium Wood Pencil - 12/Pack,Savings: $2.40 (60%),Your savings: $2.40 (60%),,,,,,,
6,تناوب ظرفیت: 20 ټنه اعظمي,Rotation capacity 20 tons maximum,Turning capacity: 20 tonnes maximum,Turning capacity: 20 tonnes maximum,,,,,,,
7,PE کاربن Spiral پیاوړی نل تولید,Plastic Pipe Production Line,PE Carbon Spiral Strengthened Pipe Production,PE Carbon Spiral Strengthened Pipe Production,,,,,,,
8,4 Min BGA او مايکرو BGA جګوالی او توپ حساب 0،008 په. (0.2mm) جګوالی، توپ حساب د 1000 څخه زیات,"4 Min BGA and Micro BGA pitch and ball counts 0.008 in. (0.2mm) pitch, ball count greater than 1000","4 Min BGA and Micro BGA accuracy and ball count 0.008 in. (0.2mm) accuracy, ball count greater than 1000","4 Min BGA and Micro BGA torque and ball account 0.008 in. (0.2mm) torque, ball account more than 1000",,,,,,,
9,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.,International Group: The 11th Conference between the Assemblies of Islamic Countries kicked off in Baghdad on the fourth day of the meeting of the Islamic Council in Baghdad.,International Group: The 11th Conference between the Assemblies of Islamic Countries was inaugurated in Baghdad on the 4th day of the month of Bahman in the presence of the head of the meeting of the Islamic Council.,,,,,,,
10,د هند حیدرآباد جومات په کلینیک کښې د بېلابېلو دینونو منونکو نه ښه راغلاست,Young Australian Arbaeen Pilgrim Talks about How Everyone Is Attracted to Imam Hussein (AS),Hyderabad mosque in India welcomes people of different faiths to the clinic,"In India, the Hyderabad mosque welcomes people of different faiths to the clinic.",,,,,,,
11,4 متره لاس ترس,Big Aluminum Stage TSA-4,4 meters,4 meters hand thrust,,,,,,,
12,HGH کلینیک تایلنډ - په بنکاک کې د درملتون څخه د انتقال جینتروپین,HGH Kit Thailand - kit of Genotropin pens from Pfizer in Bangkok,HGH Clinic Thailand - transfer genotropin from a pharmacy in Bangkok,HGH Clinic Thailand - Transfer Genotropin from pharmacy in Bangkok,,,,,,,
13,ټول د نیپون هوايي شرکت (3 liveries),All Nippon Airways (3 liveries),All Nippon Airlines (3 liveries),All Nippon Airlines (3 liveries),,,,,,,
14,د مرستیال ژوند لیک د راجستر شویو سیاسی حزبونو لیست,Deputy Minister in Social Affairs - ‌Biography,List of registered political parties,List of registered political parties List of registered political parties,,,,,,,
15,د کیسې کیسه کولو تخنیک #7. د لوستونکي کیسه شریک کړئ ...,Storytelling technique #7. Share a reader's story…,Storytelling technique #7. Share the reader's story...,Storytelling technique #7. Share the reader's story...,,,,,,,
