sample_id,source,reference,baseline_nllb_prediction,baseline_nllb_sentence_bleu,baseline_nllb_sentence_chrf,baseline_nllb_sentence_ter,baseline_nllb_comet,original_lora_prediction,original_lora_sentence_bleu,original_lora_sentence_chrf,original_lora_sentence_ter,original_lora_comet,semantic_lora_prediction,semantic_lora_sentence_bleu,semantic_lora_sentence_chrf,semantic_lora_sentence_ter,semantic_lora_comet
1,105 زیرمې بک په PocketFruity بک امتیازات نه,"Ang 'Lucky New Year' ay LIVE sa Black Diamond, Spartan Slots at Box 24!",105 deposit book on PocketFruity book no bonuses,0.0,5.5030508499034765,100.0,0.4546993374824524,105 No Deposit Book Prizes at PocketFruity Book,2.0315766105349127,7.959966148882473,92.85714285714286,0.4701317846775055,105 No Deposit Book Prizes at PocketFruity Book,2.0315766105349127,7.959966148882473,92.85714285714286,0.4701317846775055
2,.: پاييز 1392، جلد 9، شماره 3,.: Year 12، No. 2,": p. 1392, volume 9, number 3",4.990049701936832,9.142650569996972,140.0,0.7927777767181396,": Page 1392, Volume 9, No. 3",9.287528999566801,16.3981701197821,120.0,0.8273705244064331,": Pieces 1392, Volume 9, No. 3",9.287528999566801,15.34723862847156,120.0,0.7508584856987
3,سامسونګ له خپلو نويو موبایلونو پرده پورته کړه,Abdullah says won't join election ticket of any presidential...,Samsung unveiled its new phones,0.0,6.599891295908067,100.0,0.444519579410553,Samsung has unveiled its new phones,0.0,6.770430259379559,100.0,0.43699711561203003,Samsung has unveiled its new phones,0.0,6.770430259379559,100.0,0.43699711561203003
4,د ویب پاڼې ازموینه، د سیسټم څخه چې په شیکاګو کې موقعیت لري، TTFB: 486ms.,"Webpage Test, from server located at Chicago, TTFB: 486ms.","Website test, from a system based in Chicago, TTFB: 486ms.",39.34995962231127,53.0265556381614,55.55555555555556,0.8772807717323303,"Website test, from a system located in Chicago, TTFB: 486ms.",40.52587697205425,58.86654356486144,44.44444444444444,0.8886892795562744,"Website test, from a system located in Chicago, TTFB: 486ms.",40.52587697205425,58.86654356486144,44.44444444444444,0.8886892795562744
5,ذخيره شما: $2.40 (60%),Bazic #2B Premium Wood Pencil - 12/Pack,Savings: $2.40 (60%),0.0,1.666666666666667,100.0,0.3787229061126709,Your savings: $2.40 (60%),0.0,2.8409090909090904,100.0,0.3878101110458374,Savings: $2.40 (60%),0.0,1.666666666666667,100.0,0.3787229061126709
6,تناوب ظرفیت: 20 ټنه اعظمي,Rotation capacity 20 tons maximum,Turning capacity: 20 tonnes maximum,10.682175159905853,44.95343908196291,60.0,0.9006810188293457,Turning capacity: 20 tonnes maximum,10.682175159905853,44.95343908196291,60.0,0.9006810188293457,Turning capacity: 20 tonnes maximum,10.682175159905853,44.95343908196291,60.0,0.9006810188293457
7,PE کاربن Spiral پیاوړی نل تولید,Plastic Pipe Production Line,PE Carbon Spiral Strengthened Pipe Production,16.233395773754953,46.60160538144096,125.0,0.5902977585792542,PE Carbon Spiral Strengthened Pipe Production,16.233395773754953,46.60160538144096,125.0,0.5902977585792542,PE Carbon Spiral Strengthened Pipe Production,16.233395773754953,46.60160538144096,125.0,0.5902977585792542
8,4 Min BGA او مايکرو BGA جګوالی او توپ حساب 0،008 په. (0.2mm) جګوالی، توپ حساب د 1000 څخه زیات,"4 Min BGA and Micro BGA pitch and ball counts 0.008 in. (0.2mm) pitch, ball count greater than 1000","4 Min BGA and Micro BGA accuracy and ball count 0.008 in. (0.2mm) accuracy, ball count greater than 1000",63.502888723739986,76.52942782965951,15.789473684210526,0.7749176621437073,"4 Min BGA and Micro BGA torque and ball account 0.008 in. (0.2mm) torque, ball account more than 1000",47.94731828346274,61.521251298078795,26.31578947368421,0.7455501556396484,"4 Min BGA and Micro BGA ball and ball account 0.008 in. (0.2mm) ball, ball account more than 1000",47.94731828346274,61.199334271769224,26.31578947368421,0.7443248629570007
9,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.,International Group: The 11th Conference between the Assemblies of Islamic Countries kicked off in Baghdad on the fourth day of the meeting of the Islamic Council in Baghdad.,2.8748112623273374,16.711583764867836,87.5,0.5598687529563904,International Group: The 11th Conference between the Assemblies of Islamic Countries was inaugurated in Baghdad on the 4th day of the month of Bahman in the presence of the head of the meeting of the Islamic Council.,2.5802625919834825,18.249053005095373,103.125,0.5856432914733887,International Group: The 11th Conference between the Assemblies of Islamic Countries was inaugurated in Baghdad on the 4th day of the meeting of the Islamic Council in the presence of the President of the Assembly.,2.725770058666702,17.98110876102893,96.875,0.5725581049919128
10,د هند حیدرآباد جومات په کلینیک کښې د بېلابېلو دینونو منونکو نه ښه راغلاست,Young Australian Arbaeen Pilgrim Talks about How Everyone Is Attracted to Imam Hussein (AS),Hyderabad mosque in India welcomes people of different faiths to the clinic,2.426532257432171,10.37204403483536,92.85714285714286,0.627842903137207,"In India, the Hyderabad mosque welcomes people of different faiths to the clinic.",2.458476536482737,10.207268241390787,92.85714285714286,0.631117045879364,Welcome Muslims of Diverse Religions to Hyderabad Mosque in India,2.302876686963141,11.298054674464126,100.0,0.6194818019866943
11,4 متره لاس ترس,Big Aluminum Stage TSA-4,4 meters,0.0,2.747252747252747,100.0,0.5117993354797363,4 meters hand thrust,0.0,4.3316831683168315,100.0,0.42643028497695923,4 meters hand thrust,0.0,4.3316831683168315,100.0,0.42643028497695923
12,HGH کلینیک تایلنډ - په بنکاک کې د درملتون څخه د انتقال جینتروپین,HGH Kit Thailand - kit of Genotropin pens from Pfizer in Bangkok,HGH Clinic Thailand - transfer genotropin from a pharmacy in Bangkok,10.71174444166974,43.687739542441705,50.0,0.7967724800109863,HGH Clinic Thailand - Transfer Genotropin from pharmacy in Bangkok,11.17616954959852,46.332958126177935,41.66666666666667,0.8003155589103699,HGH Clinic Thailand - Transfer Genotropin from pharmacy in Bangkok,11.17616954959852,46.332958126177935,41.66666666666667,0.8003155589103699
13,ټول د نیپون هوايي شرکت (3 liveries),All Nippon Airways (3 liveries),All Nippon Airlines (3 liveries),48.892302243490086,76.29871397225368,20.0,0.9227162003517151,All Nippon Airlines (3 liveries),48.892302243490086,76.29871397225368,20.0,0.9227162003517151,All Nippon Airlines (3 liveries),48.892302243490086,76.29871397225368,20.0,0.9227162003517151
14,د مرستیال ژوند لیک د راجستر شویو سیاسی حزبونو لیست,Deputy Minister in Social Affairs - ‌Biography,List of registered political parties,0.0,11.583516304171463,100.0,0.5057997107505798,List of registered political parties List of registered political parties,0.0,10.741287774493042,142.85714285714286,0.4237716495990753,List of registered political parties,0.0,11.583516304171463,100.0,0.5057997107505798
15,د کیسې کیسه کولو تخنیک #7. د لوستونکي کیسه شریک کړئ ...,Storytelling technique #7. Share a reader's story…,Storytelling technique #7. Share the reader's story...,43.36189090348677,81.55829841441037,28.57142857142857,0.9458532333374023,Storytelling technique #7. Share the reader's story...,43.36189090348677,81.55829841441037,28.57142857142857,0.9458532333374023,Story-telling technique #7. Share the reader's story...,33.18077402843942,73.44742282462498,42.857142857142854,0.9419507384300232
16,نیلي پرده کې تېروتنه,Lahenda väljastamine Arvuti +,Blue screen error,0.0,4.773043866796331,100.0,0.42610228061676025,Error in blue screen,0.0,5.726394793958494,100.0,0.45737794041633606,Error in blue screen,0.0,5.726394793958494,100.0,0.45737794041633606
17,PEX پایپ extrusion ماشین,Pvc Pipe Extruder Machine,PEX pipe extrusion machine,0.0,23.941498762909937,50.0,0.7769885659217834,PEX pipe extrusion machine,0.0,23.941498762909937,50.0,0.7769885659217834,PEX pipe extrusion machine,0.0,23.941498762909937,50.0,0.7769885659217834
18,© کوه رون ته ځي. کوه رونګ ټاپو، کرون پریه سیانکوک، کمبوډیا,"How to Get to Koh Rong (From Sihanoukville, Phnom Penh & More)","© Going to Koh Rong Island, Crown Properties Sihanouk, Cambodia",10.549630947587664,28.420836754018925,75.0,0.6409117579460144,"© Go to Koh Rong Island, Crown Pride Sihanouk, Cambodia",10.549630947587664,28.385361960035237,75.0,0.6113348603248596,"© Go to Koh Rong. Koh Rong Island, Crown Prairie Sihanouk, Cambodia",10.511846841633776,27.96733358221425,83.33333333333334,0.6339470744132996
19,ټیزس ریلی جان 13، 2020 0,They may also have credit card or personal debt.”,"Thesis Relay January 13, 2020 0",0.0,6.632838510092117,100.0,0.33114373683929443,"Thesis Relay January 13, 2020 0",0.0,6.632838510092117,100.0,0.33114373683929443,"Thesis Relay January 13, 2020 0",0.0,6.632838510092117,100.0,0.33114373683929443
20,ښه والی د معلوماتو په زیرمه زيانمن ټولو ډول دوتنې وځلیږي لکه د جدولونو، چارتونه، فورمولونه، تبصرې، انځورونه او داسې نور.,There are two modes of the program i.e. Wizard mode and the Standard mode which makes the program equally usable for all the users and therefore it is highly recommended.,"Improvement reduces the loss of data in all types of files such as tables, charts, formulas, comments, images, etc.",1.4861017618021028,14.75976534165595,96.66666666666667,0.5273653864860535,"Improvement in the database will eliminate all types of files such as tables, charts, formulas, comments, images and so on.",1.5713612974779376,16.15035435762119,93.33333333333333,0.5483166575431824,"Improvement in the database will eliminate all types of files such as tables, charts, formulas, comments, images, etc.",1.4667925885815658,15.057847788814588,96.66666666666667,0.5265643000602722
21,له کوره د کرزي د تېښتې اوازه هم خپره شوې ده او ویل کېږي، چې له کوره وتلی دی او معلومه نه ده، چې چېرته تښتېدلی دی؟,"We try to reduce violence against women in Bamyan, Karima Salek says",The story of Karzai's escape from home has also been published and it is said that he left home and it is not known where he fled.,0.0,13.058868117932976,225.0,0.49000293016433716,He said that he has left the house and it is not known where he fled.,0.0,9.340515366616822,133.33333333333331,0.4907945990562439,He said that he left the house and it is not known where he fled.,0.0,9.217291603217541,125.0,0.4821923077106476
22,د څپې د پسرلي فشار محاسبه,Calculation Of Wave Spring Pressure,Calculation of spring wave pressure,10.682175159905848,45.501130569261825,20.0,0.8860844373703003,Calculation of wavelength spring pressure,10.682175159905848,43.80681947455765,20.0,0.8286901116371155,Calculation of wavelength spring pressure,10.682175159905848,43.80681947455765,20.0,0.8286901116371155
23,دڅیړنوپایلې اوپه هیوادکې دسرطان ناروغۍ:,Mr Tanha is awarded the first research poster prize.,Research findings and cancer in the country:,4.300847718252331,17.513459778714527,100.0,0.5633628964424133,The results of the study and cancer in the country:,3.7477767366779213,12.211625137477963,111.11111111111111,0.5634211897850037,Research findings and cancer in the country:,4.300847718252331,17.513459778714527,100.0,0.5633628964424133
24,د FileCatalyst او کارینګ انډول پیژندنه,Understanding the FileCatalyst and Caringo Integration,Identification of FileCatalyst and operating modules,16.233395773754953,37.657645998143686,66.66666666666666,0.7580302953720093,FileCatalyst and Carrying module recognition,17.491650626361256,39.823566065242,83.33333333333334,0.6921902298927307,Identification of FileCatalyst and Working Module,16.233395773754953,35.9464533107858,66.66666666666666,0.7396587133407593
25,2.If د محصول اندازه دي لویو، موږ به تاسو ته يو څه تخفيف ورکړي.,"2.If the product quantities are larger, we will give you a discount.","2.If the product size is larger, we will give you some discount.",56.81096832337496,68.04075352302162,25.0,0.8986073136329651,"2.If the product size is larger, we will give you some discount.",56.81096832337496,68.04075352302162,25.0,0.8986073136329651,"2.If the product size are larger, we will give you some discount.",64.1386525898168,73.43917033613477,16.666666666666664,0.890911877155304
26,Wood غاړکۍ Rosaries Wood غاړکۍ Rosaries,Wood Necklace Rosaries Wood Necklace Rosaries,Wood ribs Rosaries Wood ribs Rosaries,19.304869754804482,45.31263043455919,33.33333333333333,0.5712952613830566,Wood Brace Rosaries Wood Brace Rosaries,19.304869754804482,57.33332608651456,33.33333333333333,0.8327088356018066,Wood Brace Rosaries Wood Brace Rosaries,19.304869754804482,57.33332608651456,33.33333333333333,0.8327088356018066
27,بریښنالیک کیدی شي ډیر وخت وي، خو چوپړ وي!,"Email can be a huge time-suck, but it doesn’t have to be!","E-mail can be time consuming, but time consuming!",8.412054473847528,29.692088644369885,75.0,0.6548357605934143,"Email can be time consuming, but it can be boring!",19.284170861795207,38.16683559861861,58.333333333333336,0.7740889191627502,"Email can be time consuming, but it can be boring!",19.284170861795207,38.16683559861861,58.333333333333336,0.7740889191627502
28,د وزير اعلیٰ سندهـ بيان په ضد به اېم کیو اېم,Air Chief Marshal Sohail Aman,High-Secretary Sanda's statement against MQM,0.0,8.085373955960517,100.0,0.45758548378944397,"In the meantime, we will be discussing the future of the country and the future of Afghanistan.",0.0,8.769417584225687,340.0,0.39114007353782654,"In addition, the Ministry of Foreign Affairs and the Ministry of Foreign Affairs of the Republic of Kazakhstan has issued a statement against the MQM.",0.0,7.498403250574151,500.0,0.3678058683872223
29,د نوي کوریا سبک لوله پلیکا، د زړه قلف ...,Stainless Steel Jewelry New Design Pink Bow Bow...,"New Korean style plaka, heart lock ...",15.187207110382285,11.758829940511575,100.0,0.5431462526321411,"New Korean style type plaka, heart lock ...",14.991106946711685,11.824479729403498,100.0,0.5208469033241272,"New Korean style type plaka, heart lock ...",14.991106946711685,11.824479729403498,100.0,0.5208469033241272
30,ب لوی بکس او يا نورو ځانګړو بستې پر غوښتنې امکان هم شته.,B. Big Bag or other special packages are possible on request.,Large boxes or other special cases are also available on request.,20.27188766080585,50.57421868114494,54.54545454545454,0.8247026205062866,There is also the possibility of large boxes or other special cases on request.,16.451929399933114,47.38854958678614,100.0,0.8033627867698669,There is also the possibility of large boxes or other special items on request.,16.451929399933114,46.92556610667742,100.0,0.8086053729057312
31,فارسی - Resources available in Persian | QCOSS Community Door Skip to main content,د شرکت جوړېدنه | QCOSS Community Door Skip to main content,Persian - Resources available in Persian QCOSS Community Door Skip to main content,47.037095938668955,63.81219226292875,54.54545454545454,0.5521511435508728,QCOSS Community Door Skip to main content,56.47181220077595,73.55686739717532,36.36363636363637,0.6365882158279419,QCOSS Community Door Skip to main content,56.47181220077595,73.55686739717532,36.36363636363637,0.6365882158279419
