sample_id,_hidden_mapping
1,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
2,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
3,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
4,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
5,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
6,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
7,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
8,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
9,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
10,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
11,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
12,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
13,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
14,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
15,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
16,"{""System A"": ""Baseline NLLB"", ""System B"": ""Semantic LoRA"", ""System C"": ""Original LoRA""}"
17,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
18,"{""System A"": ""Semantic LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Original LoRA""}"
19,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
20,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
21,"{""System A"": ""Baseline NLLB"", ""System B"": ""Semantic LoRA"", ""System C"": ""Original LoRA""}"
