comparison,overlap_type,file_a,row_a,file_b,row_b,source_a,target_a,source_b,target_b
train_vs_test,exact_pair,data\train_high_quality_10k.csv,6799,data\gold_test_candidates_100.csv,91,يو بنسټيز PL / کيو ايل snippet (نومه د بنديز) او يا هم په يو شمېر مرمۍ وسیله په يو وخت په دار وځړول (د ساري په کيو ايل * Plus) يا,A PL / SQL malika bingehîn (block neqeydkirî) yan jî di cih de li hin tool shell Bakûr (raxîne. SQL * Plus) an,يو بنسټيز PL / کيو ايل snippet (نومه د بنديز) او يا هم په يو شمېر مرمۍ وسیله په يو وخت په دار وځړول (د ساري په کيو ايل * Plus) يا,A PL / SQL malika bingehîn (block neqeydkirî) yan jî di cih de li hin tool shell Bakûr (raxîne. SQL * Plus) an
train_vs_test,exact_pair,data\train_high_quality_10k.csv,7501,data\gold_test_candidates_100.csv,53,سياست‌هاي پولي، اعتباري و نظارتي نظام بانکي کشور، مصوب يکهزار و يکصد و سي و چهارمين جلسه شوراي محترم پول و اعتبار مورخ 20/10/1390,"The main objectives of macroeconomic policies, in general, and monetary policies, in particular, are price stability, economic growth and a favorable employment level.... more",سياست‌هاي پولي، اعتباري و نظارتي نظام بانکي کشور، مصوب يکهزار و يکصد و سي و چهارمين جلسه شوراي محترم پول و اعتبار مورخ 20/10/1390,"The main objectives of macroeconomic policies, in general, and monetary policies, in particular, are price stability, economic growth and a favorable employment level.... more"
train_vs_test,exact_pair,data\train_high_quality_10k.csv,9501,data\gold_test_candidates_100.csv,77,په ناروې کې ټول ماشومان د لس کلونو د زده کړې د تر لاسه کولو حق او دنده (مکلفیت) لري. همدارنګه ځوانان د ثانوي زده کړې حق لري.,"In Norway, all children have the right and obligation to ten years of schooling. Young people also have the right to upper secondary education.",په ناروې کې ټول ماشومان د لس کلونو د زده کړې د تر لاسه کولو حق او دنده (مکلفیت) لري. همدارنګه ځوانان د ثانوي زده کړې حق لري.,"In Norway, all children have the right and obligation to ten years of schooling. Young people also have the right to upper secondary education."
train_vs_test,exact_pair,data\train_high_quality_10k.csv,310,data\gold_test_candidates_100.csv,9,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.
train_vs_test,exact_pair,data\train_high_quality_10k.csv,5766,data\gold_test_candidates_100.csv,20,ښه والی د معلوماتو په زیرمه زيانمن ټولو ډول دوتنې وځلیږي لکه د جدولونو، چارتونه، فورمولونه، تبصرې، انځورونه او داسې نور.,There are two modes of the program i.e. Wizard mode and the Standard mode which makes the program equally usable for all the users and therefore it is highly recommended.,ښه والی د معلوماتو په زیرمه زيانمن ټولو ډول دوتنې وځلیږي لکه د جدولونو، چارتونه، فورمولونه، تبصرې، انځورونه او داسې نور.,There are two modes of the program i.e. Wizard mode and the Standard mode which makes the program equally usable for all the users and therefore it is highly recommended.
train_vs_test,exact_pair,data\train_high_quality_10k.csv,6049,data\gold_test_candidates_100.csv,67,جرګه کښې به د فاټا،خیبرپښتونخوااودبلوچستان د پښتون ضلعو خلکو ته د شرکت بلنه ورکولی شي,"However, while our commitments are firm on finding a negotiated settlement taking along all key stake holders, we do not wish to raise false hopes and expectations.",جرګه کښې به د فاټا،خیبرپښتونخوااودبلوچستان د پښتون ضلعو خلکو ته د شرکت بلنه ورکولی شي,"However, while our commitments are firm on finding a negotiated settlement taking along all key stake holders, we do not wish to raise false hopes and expectations."
train_vs_test,exact_pair,data\train_high_quality_10k.csv,338,data\gold_test_candidates_100.csv,63,تاسو کولای تل په Wondershare عکس راستنولو تکیه وکړو فوجی عکس بیرته څخه فوجی د ګڼياليزې کامرې او عکسونه بیرته. ...,"If you want to recover data from your hard drive, you might need to find and the local hard drive recovery service and let staff here to help you. ...",تاسو کولای تل په Wondershare عکس راستنولو تکیه وکړو فوجی عکس بیرته څخه فوجی د ګڼياليزې کامرې او عکسونه بیرته. ...,"If you want to recover data from your hard drive, you might need to find and the local hard drive recovery service and let staff here to help you. ..."
train_vs_test,exact_pair,data\train_high_quality_10k.csv,6600,data\gold_test_candidates_100.csv,66,د ټاکل شوې غونډې په اړه تر اوسه پورې، ښاغلی اتو او ات به زما ځای بدل کړي او یو تفصيلي راپور واستوي.,"Concerning the meeting scheduled so far, Mr. So-and-so will replace me and send me a detailed report.",د ټاکل شوې غونډې په اړه تر اوسه پورې، ښاغلی اتو او ات به زما ځای بدل کړي او یو تفصيلي راپور واستوي.,"Concerning the meeting scheduled so far, Mr. So-and-so will replace me and send me a detailed report."
train_vs_test,same_source,data\train_high_quality_10k.csv,9501,data\gold_test_candidates_100.csv,77,په ناروې کې ټول ماشومان د لس کلونو د زده کړې د تر لاسه کولو حق او دنده (مکلفیت) لري. همدارنګه ځوانان د ثانوي زده کړې حق لري.,"In Norway, all children have the right and obligation to ten years of schooling. Young people also have the right to upper secondary education.",په ناروې کې ټول ماشومان د لس کلونو د زده کړې د تر لاسه کولو حق او دنده (مکلفیت) لري. همدارنګه ځوانان د ثانوي زده کړې حق لري.,"In Norway, all children have the right and obligation to ten years of schooling. Young people also have the right to upper secondary education."
train_vs_test,same_source,data\train_high_quality_10k.csv,310,data\gold_test_candidates_100.csv,9,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.
train_vs_test,same_source,data\train_high_quality_10k.csv,338,data\gold_test_candidates_100.csv,63,تاسو کولای تل په Wondershare عکس راستنولو تکیه وکړو فوجی عکس بیرته څخه فوجی د ګڼياليزې کامرې او عکسونه بیرته. ...,"If you want to recover data from your hard drive, you might need to find and the local hard drive recovery service and let staff here to help you. ...",تاسو کولای تل په Wondershare عکس راستنولو تکیه وکړو فوجی عکس بیرته څخه فوجی د ګڼياليزې کامرې او عکسونه بیرته. ...,"If you want to recover data from your hard drive, you might need to find and the local hard drive recovery service and let staff here to help you. ..."
train_vs_test,same_source,data\train_high_quality_10k.csv,6202,data\gold_test_candidates_100.csv,64,د مطالبو او انځورونو د بیا خپرولو لپاره زمونږ سره اړيکه ونیسئ,"Sayeed Hossein Alemi Balkhi, a Parliamentarian for Kabul talking on Noorin TV, said the trip would be judged a success if peace talks start in the last months of Karzai’s term in office.",د مطالبو او انځورونو د بیا خپرولو لپاره زمونږ سره اړيکه ونیسئ,43: Should India change its Afghan strategy? 27.08.2013|Politics
train_vs_test,same_source,data\train_high_quality_10k.csv,6600,data\gold_test_candidates_100.csv,66,د ټاکل شوې غونډې په اړه تر اوسه پورې، ښاغلی اتو او ات به زما ځای بدل کړي او یو تفصيلي راپور واستوي.,"Concerning the meeting scheduled so far, Mr. So-and-so will replace me and send me a detailed report.",د ټاکل شوې غونډې په اړه تر اوسه پورې، ښاغلی اتو او ات به زما ځای بدل کړي او یو تفصيلي راپور واستوي.,"Concerning the meeting scheduled so far, Mr. So-and-so will replace me and send me a detailed report."
train_vs_test,same_source,data\train_high_quality_10k.csv,6049,data\gold_test_candidates_100.csv,67,جرګه کښې به د فاټا،خیبرپښتونخوااودبلوچستان د پښتون ضلعو خلکو ته د شرکت بلنه ورکولی شي,"However, while our commitments are firm on finding a negotiated settlement taking along all key stake holders, we do not wish to raise false hopes and expectations.",جرګه کښې به د فاټا،خیبرپښتونخوااودبلوچستان د پښتون ضلعو خلکو ته د شرکت بلنه ورکولی شي,"However, while our commitments are firm on finding a negotiated settlement taking along all key stake holders, we do not wish to raise false hopes and expectations."
train_vs_test,same_source,data\train_high_quality_10k.csv,5766,data\gold_test_candidates_100.csv,20,ښه والی د معلوماتو په زیرمه زيانمن ټولو ډول دوتنې وځلیږي لکه د جدولونو، چارتونه، فورمولونه، تبصرې، انځورونه او داسې نور.,There are two modes of the program i.e. Wizard mode and the Standard mode which makes the program equally usable for all the users and therefore it is highly recommended.,ښه والی د معلوماتو په زیرمه زيانمن ټولو ډول دوتنې وځلیږي لکه د جدولونو، چارتونه، فورمولونه، تبصرې، انځورونه او داسې نور.,There are two modes of the program i.e. Wizard mode and the Standard mode which makes the program equally usable for all the users and therefore it is highly recommended.
train_vs_test,same_source,data\train_high_quality_10k.csv,6799,data\gold_test_candidates_100.csv,91,يو بنسټيز PL / کيو ايل snippet (نومه د بنديز) او يا هم په يو شمېر مرمۍ وسیله په يو وخت په دار وځړول (د ساري په کيو ايل * Plus) يا,A PL / SQL malika bingehîn (block neqeydkirî) yan jî di cih de li hin tool shell Bakûr (raxîne. SQL * Plus) an,يو بنسټيز PL / کيو ايل snippet (نومه د بنديز) او يا هم په يو شمېر مرمۍ وسیله په يو وخت په دار وځړول (د ساري په کيو ايل * Plus) يا,A PL / SQL malika bingehîn (block neqeydkirî) yan jî di cih de li hin tool shell Bakûr (raxîne. SQL * Plus) an
train_vs_test,same_source,data\train_high_quality_10k.csv,7501,data\gold_test_candidates_100.csv,53,سياست‌هاي پولي، اعتباري و نظارتي نظام بانکي کشور، مصوب يکهزار و يکصد و سي و چهارمين جلسه شوراي محترم پول و اعتبار مورخ 20/10/1390,"The main objectives of macroeconomic policies, in general, and monetary policies, in particular, are price stability, economic growth and a favorable employment level.... more",سياست‌هاي پولي، اعتباري و نظارتي نظام بانکي کشور، مصوب يکهزار و يکصد و سي و چهارمين جلسه شوراي محترم پول و اعتبار مورخ 20/10/1390,"The main objectives of macroeconomic policies, in general, and monetary policies, in particular, are price stability, economic growth and a favorable employment level.... more"
train_vs_test,same_target,data\train_high_quality_10k.csv,7501,data\gold_test_candidates_100.csv,53,سياست‌هاي پولي، اعتباري و نظارتي نظام بانکي کشور، مصوب يکهزار و يکصد و سي و چهارمين جلسه شوراي محترم پول و اعتبار مورخ 20/10/1390,"The main objectives of macroeconomic policies, in general, and monetary policies, in particular, are price stability, economic growth and a favorable employment level.... more",سياست‌هاي پولي، اعتباري و نظارتي نظام بانکي کشور، مصوب يکهزار و يکصد و سي و چهارمين جلسه شوراي محترم پول و اعتبار مورخ 20/10/1390,"The main objectives of macroeconomic policies, in general, and monetary policies, in particular, are price stability, economic growth and a favorable employment level.... more"
train_vs_test,same_target,data\train_high_quality_10k.csv,310,data\gold_test_candidates_100.csv,9,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.,نړیواله ډله: د اسلامی هیوادونو د غونډو ترمنځه اتحادیه ۱۱ کانفرانس په د بهمن میاشته څلورم نېټې باندې د اسلامی شورا غونډې مشر په شتون سره بغداد کې شروع شو.,TEHRAN (IQNA) – The United Arab Emirates’ Ministry of Culture and Knowledge Development plans to launch the ninth session of the Ramadan Forum for Quran calligraphy at Dubai Festival City on Sunday.
