pashto,english,source
د ویب پاڼو یو سایټونه په انګلستان کې دي. نو، غیر انګلیسي، کلیوالي او سیمه ایز خلک نشي کولی ویب پاڼې خلاص کړي. زموږ د ژبې وسیله د دوی لپاره غوره آثار دي.,"URLs of Websites are in English. So, Non-English, Rural and Regional People can't Open Web Sites. Our Language Tool is Best Solution for them.",WMT20
ښوونه او روزنه باید د زده کوونکي د پوهې حاصلولو لیوالتیا خوندي وساتي. دا باید د زده کوونکو شوق او تجربه په پام کې وساتي او د هر زده کوونکي ځانګړي شرایطو سره ځان برابر کړي.,The education should encourage and make use of pupils’ appetite to learn. It should set out from the pupils’ interests and experiences and be adapted to the reality that pupils’ aptitudes vary.,WMT20
د کیبل ارتباطي تجهيزاتو په ستره ګټه د قوي مداخلې ضد، د لوړ ثبات، د ځانګړو محرمیت، روژه د انتقال کچه او نامحدوده broadband.However ده، د کیبل د اړیکو ده ډیره د چاپيريال پواسطه د ځپلو، سره کمزوری expansibility، attenuation، په ساختماني غوره ستونزه ، بې وزله خوځښت او لوړ لګښت.,"The biggest advantage of the cable communication equipment is the strong anti-interference, high stability, certain confidentiality, fast transmission rate and unlimited broadband.However, the cable communication is greatly affected by the environment, with weak expansibility, attenuation, great difficulty in construction, poor mobility and high cost.",WMT20
امکان لری څو ورځی دتوجه وړوګرځی خو کوم کار به ونه سی کړای او دنظرو څخه به هیڅته سی او دنورو طالبانو درهبرانو په شان چی دحکومت سره یوځای سوی دی دهغه اهمیت به هم لږ سی.,"That's just one of the questions that emerges from Kramer’s clear-eyed look at whatconce you’ve read her piece, “The Pentagon’s Phony Budget War”—can only be considered the Pentagon’s sequestration con game.",WMT20
د معمول په توګه، موږ د بټسیچ سیسټم او همدارنګه د WebPage Speed Test له لارې زموږ د آزموینې ساحه چلوله. دا پایلې به معمولا د فعالیت په فکتور فکتورونو کې ستاسو په اوسط ځای کې کلیدي وي.,"As usual, we run our test site through BitCatcha’s system as well as WebPage Speed test. These results will usually key you in on critical performance factors on the average site.",WMT20
تاسو کولی شئ فلټر اضافه کړئ چې ستاسو د ډاټا سره لوبې وکړي کوم چې د داخلي پاڼې اړیکې لري، لکه څنګه چې د Wordpress sitemap XML پلگ ان لخوا چمتو شوي.,"You can then add a filter to play with your data which contains all internal page links, as provided by the Wordpress sitemap XML plugin.",WMT20
په شخصي توګه، زما په اند دا د کور پاڼه سمون شاید د بازار ځای ته د بدلون لپاره کلیدي وي. موږ یوځل بیا زموږ نعره بدل کړه، او خلک په پای کې پوهیدل چې موږ د بازار ځای و، چیرې چې تاسو کولی شئ له خپلو غوره پیرودونکو څخه فلټر واخلئ.,"Then, they added buttons to products, one direct link to the shop and one direct link to freebies. Personally, I think that this homepage adjustment was probably the key to changing to a marketplace. We also changed our slogan a little bit, and people finally understood that we were a marketplace where you could buy filters from your favorite photographers.",WMT20
ناروېژي ژبې د زده کړې تمرین کوي. ګډون کوونکي د ژبې د زده کړې لپاره د عملي کار له لارې هم ژبه زده کولای شي او هم په کاري ژوند کې له خلکو سره اړیکې پیداکولای شي.,Do you have children in Norway? Have the children participate in various after-school activities. Accompany your child and use the opportunity to get to know new people!,WMT20
3 AAA بطرۍ (اختیاري) او 1 د USB rechargeable لیتیم ion بیټرۍ: دا څراغ د ټولو په اړه انعطاف او اعتبار نو موږ دوه مختلف بیټرۍ بستو کاروونکو وړاندې ده.,This flashlight is all about flexibility and reliability so we are offering users two different battery packs: 3 AAA batteries(optional) and 1 USB rechargeable lithium ion battery.,WMT20
نور د ویب کوربه توب کنټرول پینل ممکن د cPanel څخه ډیر لږ چارج وکړي ، او په حقیقت کې ، د WHCPs کې یو شمیر وړیا اختیارونه هم شتون لري. په اړه ځینې څیړنې ترسره کول څه WHCP غوره کړئ کولی شي پدې کې لوی توپیر رامینځته کړي چې تاسو څنګه خپل VPS حساب وکاروئ او هغه قیمت چې دا تاسو مصرفوي.,"Other top web hosting control panels may charge much less than cPanel, and in fact,there are a number of free options in WHCPs available as well. Doing some research on what WHCP to choose can make a big difference in how you use your VPS account and the price it costs you.",WMT20
ددې کار د ترسره کولو له پاره د مالیې وزارت د نورو دولتي ادارو په خدمتونو باندې تکیه کوي، لکه د ټولو وزارتونو له پاره د بودیجې د غوښتلو د تخصیص چمتو کول. په دغه صورت کې د B17 فورمه ورکول کېږي او د تخصیص د پروسې له پاره د B17 فورمه ترلاسه کېږي.,"Description: Budget formulation/ Revenue formulation. To deliver this service MoF relies on the service provided by other government agencies, such as: Revenue processing, large tax/ medium tax/ small tax offices.",WMT20
چې د يوې ژبې اثار د نړۍ په ټولو ژونديو ژبو وژباړل شي نو دا څنګه سيمه ييزه کېدلی شي؟,"The writer of ""Mahzan e Afghani"" claims that the mother of Pashtoons an the wife of their Forefather, Qais Abdul Rasheed was Sara, the daughter of Khalid Bin Waleed RA.",WMT20
تر بل هرچا د ناامنه سيمو اوسيدونکې سولي ته زياته اړتيا لري، چيرته دهغوی څخه امريکایې پوځيانو ته د اډو ورکولو په اړه پوښتنه شوې؟ چارواکې، حکومت او امريکا پلوه خلک خو په ښارونو کې اوسيږي، څه ډول کولای شي چې هغوی د ناامنه سيمو څخه استازيتوب وکړي؟,"McChrystal’s statement that ""we’ve been at this for about 7 months now"" is a two-fold assertion.",WMT20
دلته ده چې څنګه تاسو بيرته يو ناڅاپي شکل د USB فلش سره د مرستې ډرایو څخه د معلوماتو د تر لاسه کولای شي Wondershare د معلوماتو د افغاني :,Users don't need to be alarmed by this factor as this is quite far-fetched even during extensive usage. Extreme temperature and humidity can also trouble the sanity of your flash drive.,WMT20
باوري شه. په دې وروستیو کې، زه یو برنامه وټاکم چې ما په خپل غسل خونه کې د ښه معاش لپاره درلوده. زه د دې ځانګړي محصولاتو ځینې برخې سره ناشوني وم، نو ما دا پروژه بیرته واړوله.,"Be authentic. Recently, I was pitched a brand that I had in my bathroom for good pay. I was uncomfortable with some of the ingredients in this particular product so I turned the project down.",WMT20
که څوک عامه نظم او امنيت ته ګواښ وګڼل شي؛ ښايي خپل هېواد ته ولېږل شي. په داسې حالاتو کې به د استوګنې يا دايمي ژوند اجازه هم له لاسه ورکړي.,"If you are considered to be a threat to public safety and order, you may be deported. In this case, you will also lose your residence permit/settlement permit.",WMT20
لکه څنګه چې ما مخکې پدې پوسټ کې یادونه کړې ، زه دا د مایع اضطراب بریدونو او اضطراب له لارې لیکم. زما پیل په بشپړ ډول د لوستلو وړ او خورا سخت و ځکه چې زه نشم کولی زما لوستونکي باندې ډیر تمرکز وکړم پداسې حال کې چې زما نیمایي دماغ د اندیښنې سره مبارزه کې بوخت و او ژړا ته اړتیا درلوده.,"As I mentioned earlier in this post, I'm writing this through mild anxiety attacks and depression. My beginning was completely unreadable and too stiff because I couldn't focus too much on my reader while half of my mind was busy fighting off the anxiety and need to cry.",WMT20
ټول پوهنځي د خپلو داخلو انتظام کوي۔ مهرباني سره د پوهنځي سره نيغ په نيغه اړيکه اوکړۍ چي څه قاعده غواړي۔,"Each school handles admissions to their programmes themselves. Contact the school directly, so you know which rules apply there.",WMT20
د دیجیسټیل لیږئپاؤډ هره ورځ په ورته وخت کې. د زېږېدنې کنټرول ګولۍ ښه کار کوي کله چې د 24 ساعتونو څخه نور د خوراکي توکو تر منځ تېر نشي.,Take Desogestrel Powder at the same time each day. Birth control pills work best when no more than 24 hours pass between doses.,WMT20
زياتره برقي bikes زه په اړه اورېدلي مو يوازې يو ډېر محدود Riding لړ برابر کړي. څومره کولای شي يو برقي موټرسايکل په رښتيا ته لاړ؟,Most electric bikes I’ve heard about only provide a very limited riding range. How far can an electric bike really go?,WMT20
د دې کورس ته لاړلو دمخه، غړي باید لږترلږه یو له ملګرتیا سره نږدې د (1) کال شمولیت ولري:,"Before going to this course, members ought to have approximately one (1) year of involvement with at least one of the accompanying:",WMT20
د مرغومي ۱۷ مه – ۱۳۹۲ د غور ولایت د چغچران د کډوالو د ښارګوټي دېرش تنو ښځو، د کلیو د بیارغونې او پراختیا وزارت له خوا د یوې پروژې د پلې کېدلو په عملي کار پیل وکړ. یاده پروژه چې نږدې یو ملیون او اوه سوه زره افغانۍ لګښت پرې راغلی د...,The employees include: 1) two provincial employees of Badghis Rural Rehabilitation and Development 2) an Engineer of Rural Water supply Sanitation and Irrigation Program of the MRRD and 3) three day laborers of a construction company.,WMT20
(۶) ډاكټر هنري والټر بيلو هم په ۱۸۶۷م كال د خپل پښتو ګرامر د سريزې پر ۱۲مخ د پښتونخوا يادونه او ستاينه په دې ډول كړې ده:,"The Province borders Afghanistan to the North West, the Northern Areas to the North East, Azad Kashmir to the East, Federally Administered Tribal Areas (FATA) to the West and South, and the Punjab and Islamabad Capital Territory to the South East.",WMT20
اَللّهُمَّ اغْسِلْنى فيهِ مِنَ الذُّنُوبِ، وَطَهِّرْنى فيهِ مِنَ الْعُيُوبِ، وَامْتَحِنْ قَلْبى فيهِ بِتَقْوَى الْقُلُوبِ، يا مُقيلَ عَثَراتِ الْمُذْنِبينَ.,( ØªÙ Ø³Ù Ø± Ø§Ù Ø¹Ø³Ù Ø±Ù Ø¹Ù Ù Ù Ø§Ù Ø³Ù Ø§Ù : Øµ 341 ) Lâ Imam (Paix sur Lui) a dit:,WMT20
