sample_id,pashto_source,english_reference,system_a_output,system_b_output,system_c_output,best_system,adequacy_a_1_to_5,adequacy_b_1_to_5,adequacy_c_1_to_5,fluency_a_1_to_5,fluency_b_1_to_5,fluency_c_1_to_5,missing_information,hallucination,named_entity_error,comments
1,تولید سرعت 3500-7200pieces / ساعت کچول شوی د بریښنا د 2.2kw,Production Speed 3500-7200pieces/hour Rated Power 2.2kw,Production speed 3500-7200pieces / h Passed power 2.2kw,Production speed 3500-7200pieces / h Passed power of 2.2kw,Production speed 3500-7200pieces / h Passed power 2.2kw,,,,,,,,,,,
2,"د خپرېدو نېټه: Sep 06, 2011","Publish Date: Nov 26, 2011","Release date: Sep 06, 2011","Published on: Sep 06, 2011","Release date: Sep 06, 2011",,,,,,,,,,,
3,نقل ځله به توپير په کتو سره خپل ځای:,Shipping times will vary depending on your location:,The replication frequency will vary depending on your location:,Replication times will vary depending on your location:,Replication times will vary depending on your location:,,,,,,,,,,,
4,"سیټریک اسید - 1,7 ګرام","Citric Acid - 1,7 Gram","Citric acid - 1,7 grams","Citric acid - 1,7 grams","Citric acid - 1,7 grams",,,,,,,,,,,
5,لاس اګاس ، سان جوآن دی لا رمبلا ، ټینریف,"Las Aguas, San Juan de la Rambla , Tenerife","Las Agas, San Juan de la Rambla, Tenerife","Las Agas, San Juan de la Rambala, and Tenerife","Las Agas, San Juan de la Rambla, Tenerife",,,,,,,,,,,
6,15 لیترونه د دوړو دوړو ثبوت تحلیل کونکی,15 Liters Double Dust Proof Dispersion Kneader,15 liters of dust dust proof analyzer,15 liters dust dust proof analyzer,15 liters dust dust proof analyzer,,,,,,,,,,,
7,دڅیړنوپایلې اوپه هیوادکې دسرطان ناروغۍ:,Mr Tanha is awarded the first research poster prize.,The results of the study and cancer in the country:,Research findings and cancer in the country:,Research findings and cancer in the country:,,,,,,,,,,,
8,په بشپړه توګه وړیا امتیاز او د ځینو هیوادونو لپاره، موږ تاسو تضمین کوو چې توکي مو ترلاسه کړئ.,"admin, admin on The most effective weight loss powder: Sibutramine powder(Meridia)","Completely free of charge and for some countries, we guarantee you get the goods.","Completely free of charge and for some countries, we guarantee you get the goods.","Completely free of charge and for some countries, we guarantee you get the goods.",,,,,,,,,,,
9,4 متره لاس ترس,Big Aluminum Stage TSA-4,4 meters hand thrust,4 meters hand thrust,4 meters,,,,,,,,,,,
10,105 زیرمې بک په PocketFruity بک امتیازات نه,"Ang 'Lucky New Year' ay LIVE sa Black Diamond, Spartan Slots at Box 24!",105 No Deposit Book Prizes at PocketFruity Book,105 deposit book on PocketFruity book no bonuses,105 No Deposit Book Prizes at PocketFruity Book,,,,,,,,,,,
11,ټیزس ریلی جان 13، 2020 0,They may also have credit card or personal debt.”,"Thesis Relay January 13, 2020 0","Thesis Relay January 13, 2020 0","Thesis Relay January 13, 2020 0",,,,,,,,,,,
12,فارسی - Resources available in Persian | QCOSS Community Door Skip to main content,د شرکت جوړېدنه | QCOSS Community Door Skip to main content,QCOSS Community Door Skip to main content,QCOSS Community Door Skip to main content,Persian - Resources available in Persian QCOSS Community Door Skip to main content,,,,,,,,,,,
13,د پوهنتون څخه بهر علمي مرکزونو سره د معلوماتو تبادله او همکاري.,· Providing education based on knowledge and experiment,Information exchange and cooperation with academic centers outside the university.,Information exchange and cooperation with academic centers outside the university.,Information exchange and cooperation with academic centers outside the university.,,,,,,,,,,,
14,نام :hebat ساعت : 10:14:52 AM تاریخ: 10 دي 1390,Name: Time : 7:21:37 AM Date : 6/2/2009,Name :hebat Hour : 10:14:52 AM Date: 10 are 1390,Name :hebat time : 10:14:52 AM Date: 10 are 1390,Name: hebat time: 10:14:52 AM Date: 10 is 1390,,,,,,,,,,,
